state,state_code,class,bioguide,thomas,opensecrets,votesmart,fec,maplight,wikidata,google_entity_id,title,party,first_name,middle_name,last_name,name_suffix,goes_by,pronunciation,gender,ethnicity,religion,openly_lgbtq,date_of_birth,entered_office,term_end,biography,phone,fax,latitude,longitude,address,website,contact_page,facebook_url,twitter_url
Colorado,CO,II,G000562,1998,N00030780,30004,,,,,senator,republican,Cory,,Gardner,,,CORE-ee GAHRD-ner,male,white-american,lutheran,no,1974-08-22,2015-01-03,2021-01-03,"Cory Gardner, a Senator and a Representative from Colorado; born in Yuma, Yuma County, Colo., on August 22, 1974; graduated from Yuma High School, Yuma, Colo., 1993; B.A., Colorado State University, Fort Collins, Colo., 1997; J.D., University of Colorado, Boulder, Colo., 2001; agricultural advocate; staff, United States Senator Wayne Allard of Colorado, 2002-2005; member of the Colorado state house of representatives, 2005-2010; elected as a Republican to the One Hundred Twelfth and to the succeeding Congress (January 3, 2011-January 3, 2015); was not a candidate for reelection to the House of Representatives but was elected as a Republican to the United States Senate in 2014 for the term ending January 3, 2021.",202-224-5941,202-224-6524,38.892542,-77.007415,"354 Russell Senate Office Building, Washington, DC 20510",http://www.gardner.senate.gov,https://www.gardner.senate.gov/contact-cory/email-cory,https://facebook.com/SenCoryGardner,https://twitter.com/sencorygardner
Colorado,CO,III,B001267,1965,N00030608,110942,,,,,senator,democrat,Michael ,F.,Bennet,,,MAHY-kuhl BEN-ett,male,white-american,unspecified,no,1964-11-28,2009-01-21,2023-01-03,"Michael Bennet, a Senator from Colorado; born in New Delhi, India, November 28, 1964; B.A., Wesleyan University, Middletown, Conn., 1987; J.D., Yale Law School, 1993, editor-in-chief of the Yale Law Journal; counsel to U.S. deputy attorney general 1995-1997; special assistant U.S. attorney, Conn., 1997; managing director, Anschutz Investment Co. 1997-2003; chief of staff to Mayor of Denver, Colo., 2003-2005; Superintendent, Denver Public Schools 2005-2009; appointed January 21, 2009, to the United States Senate for the term ending January 3, 2011, to fill the vacancy caused by the resignation of Kenneth L. Salazar; took the oath of office on January 22, 2009; elected to the U.S. Senate in 2010 for the term ending January 3, 2017; chair, Democratic Senatorial Campaign Committee (2013-2014).",202-224-5852,202-228-5097,38.892542,-77.007415,"261 Russell Senate Office Building, Washington, DC 20510",http://www.bennet.senate.gov,https://www.bennet.senate.gov/?p=contact,https://facebook.com/senatorbennet,https://twitter.com/SenBennetCO
Connecticut,CT,I,M001169,1837,N00027566,17189,,,,,senator,democrat,Christopher,,Murphy,,Chris,KRISS MER-fee,male,white-american,protestant,no,1973-08-03,2013-01-03,2019-01-03,"Christopher Murphy, a Senator and a Representative from Connecticut; born in White Plains, Westchester County, N.Y., August 3, 1973; B.A., Williams College, Williamstown, Mass., 1996; attended Exeter College, Oxford, England, 1994-1995; J.D., University of Connecticut, Hartford, Conn., 2002; lawyer, private practice; Southington, Conn., planning and zoning commission, 1997-1999; member of the Connecticut state house of representatives, 1999-2003; member of the Connecticut state senate, 2003-2006; elected as a Democrat to the One Hundred Tenth and to the two succeeding Congresses (January 3, 2007-January 3, 2013); was not a candidate for reelection to the House of Representatives but was elected as a Democrat to the United States Senate in 2012 for the term ending January 3, 2019.",202-224-4041,202-224-9750,38.892839,-77.004356,"136 Hart Senate Office Building, Washington, DC 20510",http://www.murphy.senate.gov,https://www.murphy.senate.gov/contact,https://facebook.com/ChrisMurphyCT,https://twitter.com/ChrisMurphyCT
Connecticut,CT,III,B001277,2076,N00031685,1568,,,,,senator,democrat,Richard,,Blumenthal,,Dick,DICK BLOO-mun-thawl,male,white-american,jewish,no,1946-02-13,2011-01-05,2023-01-03,"Richard Blumenthal, a Senator from Connecticut; born in Brooklyn, N.Y., February 13, 1946; graduated Harvard University, B.A., 1967; attended Cambridge University, 1967-1968; graduated Yale University, J.D., 1973; editor-in-chief of the Yale Law Journal; served in the United States Marine Corps Reserves 1970-1976; White House aide 1969-1970; law clerk to United States Supreme Court Justice Harry A. Blackmun 1974-1975; administrative assistant to Senator Abraham Ribicoff 1975-1976; United States Attorney for Connecticut 1977-1981; lawyer; member of the Connecticut state house of representatives 1984-1987; member of the Connecticut state senate 1987-1990; attorney general of Connecticut 1991-2010; elected as a Democrat to the United States Senate in 2010 for the term ending January 3, 2017.",202-224-2823,202-224-9673,38.892839,-77.004356,"706 Hart Senate Office Building, Washington, DC 20510",http://www.blumenthal.senate.gov,https://www.blumenthal.senate.gov/contact/,https://facebook.com/SenBlumenthal,https://twitter.com/SenBlumenthal
Delaware,DE,II,C001088,1984,N00031820,122834,,,,,senator,democrat,Christopher,A.,Coons,,Chris,KRISS KOONZ,male,white-american,presbyterian,no,1963-09-09,2010-11-15,2021-01-03,"Chris Coons, a Senator from Delaware; born on September 9, 1963, in Greenwich, Conn.; B.A., Amherst College, 1985; J.D., Yale University Law School, 1992; M.A.R., Yale Divinity School, 1992; worked in the non-profit sector; attorney; served as president of the New Castle County Council 2001-2005; County Executive of New Castle County 2005-2010; elected as a Democrat to the United States Senate in the November 2, 2010, special election to the term ending January 3, 2015, a seat previously held by appointed Senator Edward E. Kaufman, and took the oath of office on November 15, 2010; reelected in 2014 for the term ending January 3, 2021.",202-224-5042,,38.892542,-77.007415,"127A Russell Senate Office Building, Washington, DC 20510",http://www.coons.senate.gov,https://www.coons.senate.gov/contact,https://facebook.com/senatorchriscoons,https://twitter.com/ChrisCoons
Delaware,DE,I,C000174,179,N00012508,22421,,,,,senator,democrat,Thomas,R.,Carper,,Tom,TAHM KAR-per,male,white-american,presbyterian,no,1947-01-23,2001-01-03,2019-01-03,"Thomas Carper, a Senator and a Representative from Delaware; born in Beckley, Raleigh County, W.Va., January 23, 1947; attended public schools; graduated, Whetstone High School, Columbus, Ohio 1964; B.A., Ohio State University, Columbus 1968; University of Delaware, Newark, M.B.A. 1975; served in the United States Navy 1968-1973; Naval Reserve, commander, 1973-1991; Delaware State Treasurer 1976-1983; elected as a Democrat to the Ninety-eighth and to the four succeeding Congresses (January 3, 1983-January 3, 1993); Governor of Delaware 1993-2001; chairman of the National Governors Association 1998-1999; elected to the United States Senate in 2000 for term commencing January 3, 2001; reelected in 2006 and again in 2012 for the term ending January 3, 2019; chair, Committee on Homeland Security and Governmental Affairs (One Hundred Thirteenth Congress).",202-224-2441,202-228-2190,38.892839,-77.004356,"513 Hart Senate Office Building, Washington, DC 20510",http://www.carper.senate.gov,https://www.carper.senate.gov/public/index.cfm/email-senator-carper,https://facebook.com/tomcarper,https://twitter.com/SenatorCarper
Florida,FL,I,S001217,,N00043290,124204,S8FL00273,,Q439729,,senator,republican,Rick,,Scott,,,RIK SKAHT,male,white-american,unspecified,no,1952-12-01,2019-01-03,2025-01-03,"Rick Scott is a Republican member of the U.S. Senate from Florida. Scott was elected to the office on November 6, 2018. Scott was elected governor of Florida in 2010 and 2014. Prior to serving in public office, Scott owned an investment firm and a business that acquired healthcare organizations",202-224-5274,,38.892839,-77.004356,"716 Hart Senate Office Building, Washington, DC 20510",https://www.rickscott.senate.gov,https://www.rickscott.senate.gov/contact_rick,https://facebook.com/RickScottSenOffice,https://twitter.com/SenRickScott
Florida,FL,III,R000595,2084,N00030612,1601,,,,,senator,republican,Marco,,Rubio,,,MAR-koh ROO-bee-oh,male,hispanic-american,roman-catholic,no,1971-05-28,2011-01-03,2023-01-03,"Marco Rubio, a Senator from Florida; born in Miami, Fla., May 28, 1971; graduated University of Florida, B.S., 1993; graduated University of Miami, J.D., 1996; lawyer; West Miami City Commission 1998-2000; member of the Florida house of representatives 2000-2008; majority leader 2003-2006; speaker 2006-2008; elected as a Republican to the United States Senate for the term ending January 3, 2017.",202-224-3041,,38.892542,-77.007415,"284 Russell Senate Office Building, Washington, DC 20510",http://www.rubio.senate.gov,https://www.rubio.senate.gov/public/index.cfm/contact,https://facebook.com/SenatorMarcoRubio,https://twitter.com/marcorubio
Georgia,GA,II,P000612,2286,N00035516,151330,,,,,senator,republican,David,,Perdue,,,DAY-vid pur-DOO,male,white-american,methodist,no,1949-12-10,2015-01-03,2021-01-03,"David Perdue, a Senator from Georgia; born in Macon, Bibb County, Ga., December 10, 1949; B.S., Georgia Institute of Technology, 1972; M.S., Georgia Institute of Technology, 1976; management consultant; company executive; elected as a Republican to the United States Senate in 2014 for the term ending January 3, 2021.       ",202-224-3521,202-228-1031,38.892542,-77.007415,"383 Russell Senate Office Building, Washington, DC 20510",http://www.perdue.senate.gov,https://www.perdue.senate.gov/connect/email,https://facebook.com/SenatorDavidPerdue,https://twitter.com/sendavidperdue
Georgia,GA,III,I000055,1608,N00002593,1721,,,,,senator,republican,Johnny,,Isakson,,,JAH-nee AHY-zick-suhn,male,white-american,methodist,no,1944-12-28,2005-01-03,2023-01-03,"John Isakson, a Senator and a Representative from Georgia; born in Atlanta, Fulton County, Ga., December 28, 1944; graduated from the University of Georgia, Athens, Ga., 1966; served in the Georgia Air National Guard 1966-1972; member of the Georgia state general assembly, 1976-1990; unsuccessful candidate for election as Governor of Georgia 1990; member of the Georgia state senate 1993-1996; unsuccessful candidate for election to the United States Senate in 1996; chair of the Georgia board of education 1996; elected as a Republican to the One Hundred Sixth Congress by special election to fill the vacancy created when United States Representative Newt Gingrich did not take his seat in the One Hundred Sixth Congress; reelected to the two succeeding Congresses (February 23, 1999-January 3, 2005); was not a candidate for reelection to the House of Representatives, but was elected to the United States Senate in 2004; reelected in 2010 for the term ending January 3, 2017; chair, Committee on Veterans' Affairs (One Hundred Fourteenth Congress), Select Committee on Ethics (One Hundred Fourteenth Congress).	",202-224-3643,202-228-0724,38.892542,-77.007415,"131 Russell Senate Office Building, Washington, DC 20510",https://www.loeffler.senate.gov,https://www.loeffler.senate.gov/contact,https://facebook.com/kellyloefflerga,https://twitter.com/senatorloeffler?lang=en
Hawaii,HI,III,S001194,2173,N00028138,17852,,,,,senator,democrat,Brian,,Schatz,,,"BRAHY-uhn SHAHTS [Rhymes with shots, not cats]",male,white-american,jewish,no,1972-10-20,2012-12-26,2023-01-03,"Brian Schatz, a Senator from Hawaii; born in Ann Arbor, Washtenaw County, Mich., October 20, 1972; attended Punahou School in Honolulu, Hawaii; B.A. Pomona College 1994; teacher; member of the Hawaii state house of representatives, 1998-2006; CEO, Helping Hands Hawaii, 2002-2010; Chairman, Democratic Party of Hawaii, 2008-2011; Hawaii lieutenant governor, 2010-2012; appointed as a Democrat to the United States Senate on December 26, 2012, to fill the vacancy caused by the death of Daniel Inouye, and took the oath of office on December 27, 2012; elected in 2014 in a special election for the term ending January 3, 2017.",202-224-3934,202-228-1153,38.892839,-77.004356,"722 Hart Senate Office Building, Washington, DC 20510",http://www.schatz.senate.gov,https://www.schatz.senate.gov/contact,https://facebook.com/SenBrianSchatz,https://twitter.com/brianschatz
Hawaii,HI,I,H001042,1844,N00028139,1677,,,,,senator,democrat,Mazie,K.,Hirono,,,MAY-zee hear-OH-noh [O's unrounded],female,asian-american,buddhism,no,1947-11-03,2013-01-03,2019-01-03,"Mazie Hirono, a Senator and a Representative from Hawaii; born in Fukushima, Japan, November 3, 1947; graduated from Kaimuki High School, Honolulu, Hawaii; B.A., University of Hawaii, Manoa, Hawaii, 1970; J.D., Georgetown University, Washington, D.C., 1978; lawyer, private practice; member of the Hawaii state house of representatives, 1981-1994; Hawaii lieutenant governor, 1994-2002; elected as a Democrat to the One Hundred Tenth and to the two succeeding Congresses (January 3, 2007-January 3, 2013); was not a candidate for reelection to the House of Representatives but was elected as a Democrat to the United States Senate in 2012 for the term ending January 3, 2019.",202-224-6361,202-224-2126,38.892839,-77.004356,"330 Hart Senate Office Building, Washington, DC 20510",http://www.hirono.senate.gov,https://www.hirono.senate.gov/contact,https://facebook.com/senatorhirono,https://twitter.com/maziehirono
Iowa,IA,III,G000386,457,N00001758,53293,,,,,senator,republican,Charles,,Grassley,,Chuck,CHUHK GRASS-lee,male,white-american,baptist,no,1933-09-17,1981-01-03,2023-01-03,"Charles Grassley, a Senator and a Representative from Iowa; born in New Hartford, Butler County, Iowa, September 17, 1933; attended the public schools; graduated, University of Northern Iowa, Cedar Falls 1955; received a graduate degree from the same university in 1956; pursued graduate work, University of Iowa, Iowa City 1957-1958; engaged in agriculture; part-time university instructor; member, Iowa house of representatives 1959-1974; elected in 1974 as a Republican to the Ninety-fourth Congress; reelected to the Ninety-fifth and Ninety-sixth Congresses (January 3, 1975-January 3, 1981); was not a candidate in 1980 for reelection to the House of Representatives, but was elected to the Senate in 1980; reelected in 1986, 1992, 1998, 2004 and again in 2010 for the term ending January 3, 2017; Chair, Special Committee on Aging (One Hundred Fifth Congress), Committee on Finance (One Hundred Seventh Congress [January 20 to June 6, 2001], One Hundred Eighth and One Hundred Ninth Congresses), Committee on the Judiciary (One Hundred Fourteenth Congress).",202-224-3744,202-224-6020,38.892839,-77.004356,"135 Hart Senate Office Building, Washington, DC 20510",http://www.grassley.senate.gov,https://www.grassley.senate.gov/contact,https://facebook.com/grassley,https://twitter.com/ChuckGrassley
Iowa,IA,II,E000295,2283,N00035483,128583,,,,,senator,republican,Joni,,Ernst,,,JOH-nee URNST,female,white-american,lutheran,no,1970-07-01,2015-01-03,2021-01-03,"Joni Ernst, a Senator from Iowa; born in Red Oak, Montgomery County, Iowa, July 1, 1970; B.A., Iowa State University, 1992; M.P.A., Columbus College (now Columbus State University), Columbus, Ga., 1995; United States Army Reserves, 1993-2001; Iowa Army National Guard, 2001-present, attaining the rank of lieutenant colonel; auditor of Montgomery County, Iowa, 2005-2011; member of the Iowa state Senate 2011-2014; elected as a Republican to the United States Senate in 2014 for the term ending January 3, 2021.",202-224-3254,202-224-9369,38.892542,-77.007415,"111 Russell Senate Office Building, Washington, DC 20510",http://www.ernst.senate.gov,https://www.ernst.senate.gov/public/index.cfm/contact,https://facebook.com/joniforiowa,https://twitter.com/joniernst
Idaho,ID,II,R000584,1896,N00029441,2919,,,,,senator,republican,James,E.,Risch,,Jim,JIM RESH [Rhymes with mesh],male,white-american,roman-catholic,no,1943-05-03,2009-01-03,2021-01-03,"James Risch, a Senator from Idaho; born in Milwaukee, Wis., May 3, 1943; B.A., attended the University of Wisconsin, Milwaukee, 1961-1963; B.S. in Forestry, University of Idaho, 1965; J.D., University of Idaho College of Law, 1968; Ada County, Idaho, prosecuting attorney, 1970-1974; Idaho State Senator, 1974-1989 and 1995-2003, serving as majority leader (1976-1982), and as president pro tempore (1982-1989); lieutenant governor of Idaho, 2003-2006 and 2007-2009; governor of Idaho, 2006; elected as a Republican to the United States Senate in 2008; reelected in 2014 for the term ending January 3, 2021.",202-224-2752,202-224-2573,38.892542,-77.007415,"483 Russell Senate Office Building, Washington, DC 20510",http://www.risch.senate.gov,https://www.risch.senate.gov/public/index.cfm?p=Email,https://facebook.com/SenatorRisch,https://twitter.com/SenatorRisch
Idaho,ID,III,C000880,250,N00006267,26830,,,,,senator,republican,Mike,,Crapo,,,MIKE CRAY-poh,male,white-american,mormon,no,1951-05-20,1999-01-03,2023-01-03,"Michael Crapo, a Senator and a Representative from Idaho; born in Idaho Falls, Bonneville County, Idaho, May 20, 1951; graduated Idaho Falls High School 1969; B.A., Brigham Young University 1973; J.D., Harvard University School of Law 1977; admitted to the bar in 1977; law clerk to Judge James M. Carter, United States Court of Appeals, Ninth Circuit 1977-1978; practiced law in San Diego 1978-1979, and in Idaho Falls 1979-1992; vice chair, Bonneville County Republican Committee 1979-1981; vice chair, Legislative District 29 Republican Committee 1982-1984; Idaho State Senator 1985-1992; elected as a Republican to the One Hundred Third and to the two succeeding Congresses (January 3, 1993-January 3, 1999); was not a candidate for reelection to the U.S. House of Representatives, but was elected to the United States Senate in 1998; reelected in 2004 and again in 2010 for the term ending January 3, 2017.",202-224-6142,202-228-1375,38.892947,-77.075686,"239 Dirksen Senate Office Building, Washington, DC 20510",http://www.crapo.senate.gov,https://www.crapo.senate.gov/contact/email.cfm,https://facebook.com/mikecrapo,https://twitter.com/MikeCrapo
Illinois,IL,II,D000563,326,N00004981,26847,,,,,senate-minority-whip,democrat,Richard,J.,Durbin,,Dick,DICK DER-buhn,male,white-american,roman-catholic,no,1944-11-21,1997-01-03,2021-01-03,"Richard Durbin, a Senator and a Representative from Illinois; born in East St. Louis, St. Clair County, Ill., November 21, 1944; graduated from Assumption High School, East St. Louis 1962; B.S., Georgetown University School of Foreign Service Senate Office Building, Washington, DC 1966; intern in the office of Illinois Senator Paul Douglas during his senior year in College; J.D., Georgetown University Law Center 1969; admitted to the Illinois bar 1969, and commenced practice in Springfield; legal counsel to Illinois Lieutenant Governor Paul Simon 1969-1972; legal counsel, Illinois State Senate Judiciary Committee 1972-1982; Democratic nominee for lieutenant governor of Illinois 1978; associate professor, Southern Illinois University School of Medicine, Springfield 1978-1983; delegate, Democratic National Conventions 1984, 1988, 1992 and 1996; chairman of Illinois state delegation in 1996; elected as a Democrat to the Ninety-eighth and to the six succeeding Congresses (January 3, 1983-January 2, 1997); elected as a Democrat to the United States Senate in 1996; reelected in 2002, 2008, and again in 2014 for the term ending January 3, 2021; Democratic party whip (2005-).",202-224-2152,202-228-0400,38.892839,-77.004356,"711 Hart Senate Office Building, Washington, DC 20510",http://www.durbin.senate.gov,https://www.durbin.senate.gov/contact/,https://facebook.com/SenatorDurbin,https://twitter.com/SenatorDurbin
