Facility Name,Street Address,Zip Code,Hours,Website,Phone Number,Other Phone,Building ID,Ownership Status,Owner,Occupying Division,Occupancy Type,Sq. Ft. ,Year Built 
South Austin WIC Clinic,"2508 Durwood St.
Austin, Texas 78704
(30.239252, -97.760073)",78704,"Monday and Tuesday 7:30am to 7:00 p.m., closed noon to 1:00 p.m.; Wednesday and Thursday 7:30am to 4:30 pm, closed noon to 12:30 p.m.; (Closed second Wednesday of each month); Friday 7:30am to noon; Second Saturday of each month 8:00am to noon",http://www.austintexas.gov/department/south-austin-wic-clinic,512-972-4942,,SAN ,Own,City of Austin ,Community Services ,"Clinic, Neighborhood Center ",18651,1980
"Betty Dunkerley Campus, Building E ","7201 Levander Loop, Building E
Austin, Texas 78702
(30.252944, -97.690225)",78702,,,512-972-5000,,BDCE,Own ,City of Austin ,"Administrative Support Services, Health Equity and Community Engagement, Office of the Director ",Offices ,12403,N/A
Montopolis Neighborhood Center,"1416 Montopolis Drive
Austin, Texas 78741
(30.229149, -97.701342)",78741,Tuesday 8am to noon and 1pm to 5pm,http://www.austintexas.gov/department/montopolis-neighborhood-center,512-962-6650,,MNC,Own,City of Austin,Community Services ,Neighborhood Center ,2840,1976
East Austin WIC Clinic,"211 Comal St.
Austin, Texas 78702
(30.259745, -97.727356)",78702,Monday to Thursday 8am to 6pm; closed 12noon to 1pm; Friday 8am to 12noon,http://www.austintexas.gov/department/east-austin-wic-clinic,512-972-4942,,EAN,Own,City of Austin,Community Services ,"Clinic, Neighborhood Center ",4304,1981
Del Valle WIC Clinic,"3518 FM 973
Del Valle, Texas 78617
(30.198796, -97.642069)",78617,"Monday 8am to 7pm; closed 12 noon to 12:30pm; First and third Thursday of each month 8am to 4:30 pm, closed 12 noon to 12:30pm",http://www.austintexas.gov/department/del-valle-wic-clinic,512-972-4942,,DEL,N/A,Travis County ,Community Services ,Clinic ,1000,N/A
Rosewood-Zaragosa Neighborhood Center,"2800 Webberville Road
Austin, Texas 78702
(30.265355, -97.710555)",78702,Monday to Friday 8am to 6pm; Fridays 8am to noon,http://www.austintexas.gov/department/rosewood-zaragosa-neighborhood-center,512-972-6740,,RZN,Own,City of Austin,Community Services ,"Clinic, Neighborhood Center ",17128,1974
Pflugerville WIC Clinic,"15822 Foothill Farms Loop
Pflugerville, Texas 78660
(30.449001, -97.65186)",78660,"Monday and Tuesday 7:30am to 7:00pm, closed 12 noon to 1:00pm; Wednesday and Thursday 7:30am to 4:30pm, closed 12 noon to 12:30pm (Closed second Wednesday of each month); Friday 7:30am to 12 noon; Second Saturday of each month 8:00am to 12 noon",http://www.austintexas.gov/department/pflugerville-wic-clinic,512-972-4942,,PFL,N/A,Travis County ,Community Services ,Clinic,2000,N/A
"Betty Dunkerley Health Campus, Building C","7201 Levander Loop, Bulding C
Austin, Texas 78702
(30.251614, -97.690013)",78702,,,512-972-5000,,BDCC,Own ,City of Austin ,"Community Services, Epidemiology, Public Health Preparedness ",Offices,7448,N/A
Mom's Place - WIC Breastfeeding Resource Center,"8701 Research Blvd., Suite B
Austin, Texas 78758
(30.364895, -97.71704)",78758,"Monday, Wednesday, and Thursday  8am to 5pm, closed 12:15pm to 12:45pm (Closed 2nd Wednesday of each month); Tuesday 8am to 6pm, closed 12:15pm to 12:45pm; Friday 8am to 2pm",http://www.austintexas.gov/department/moms-place-wic-breastfeeding-resource-center,512-719-3010,1-800-514-6667,MOM,Lease,"Van Family Real Estate Partnership, Ltd",Community Services ,Clinic,2080,1993
AK Black Health Center ,"928 Blackson Avenue
Austin, Texas 78752
(30.333683, -97.698535)",78752,,,512-978-9740,,AKB,Own,City of Austin ,"Community Services, Health Equity and Community Engagement",Clinic,4200,N/A
St. John Community Center,"7500 Blessing Avenue
Austin, Texas 78752
(30.332632, -97.693348)",78752,Monday to Thursday 8 a.m. â 6 p.m.; Friday 8 a.m. to noon,http://www.austintexas.gov/department/st-johns-community-center,512-972-5139,,SJC,Lease,Austin Independent School District ,Community Services ,"Clinic, Neighborhood Center ",9559,2001
Elgin WIC Clinic,"218 South Main Street
Elgin, Texas 78621
(30.345313, -97.369808)",78621,"Tuesdays 8:00am to 5:00pm, closed 12 noon to 12:30pm; Fridays 8:00am to 12:00pm",http://www.austintexas.gov/department/elgin-wic-clinic,512-972-4942,,ELG,N/A,Travis County ,Community Services ,Clinic,1500,N/A
"Betty Dunkerley Campus Building H, Administrative Services ","7201 Levander Loop, Building H
Austin, Texas 78702
(30.253738, -97.689104)",78702,,,,,BDCH,Own ,City of Austin,"Administrative Support Services, Community Services, Health Equity and Community Engagement ",Offices ,10016,N/A
Rosewood-Zaragosa WIC Clinic,"2800 Webberville Road
Austin, Texas 78702
(30.265487, -97.71038)",78702,"Monday and Tuesday 7:30am to 7:00pm, closed 12 noon to 1:00p.m.; Wednesday and Thursday 7:30am to 4:30 pm, closed 12:00 noon to 12:30pm (Closed second Wednesday of each month); Friday 7:30am to 12:00 noon; Second Saturday of each month 8:00am to 12:00 noon",http://www.austintexas.gov/department/rosewood-zaragosa-wic-clinic,512-972-4942,,RZN,Own,City of Austin,Community Services ,"Clinic, Neighborhood Center ",17128,1974
East Austin Neighborhood Center,"211 Comal St
Austin, Texas 78702
(30.259718, -97.727464)",78702,Monday toThursday 8am to 6pm; Friday 8am to noon,http://www.austintexas.gov/department/east-austin-neighborhood-center,512-972-6650,,EAN,Own,City of Austin,Community Services ,"Clinic, Neighborhood Center ",4304,1981
Oak Hill WIC Clinic,"8656 Hwy. 71 W, Building A Ste B
Austin, Texas 78735
(30.251475, -97.893723)",78735,"Monday 8am to 5pm, closed 12 noon to 12:30pm",http://www.austintexas.gov/department/oak-hill-wic-clinic,512-972-4942,,OAK,N/A,Travis County ,Community Services ,Clinic,1200,N/A
